"","p_value","mean_exp_in_R","mean_exp_in_NR","per_in_R","per_in_NR","log2_R_NR_"
"IFI44L",1.98114781346106e-34,0.634802342606149,1.58860730062776,0.0815031722791606,0.196233434085096,-1.32338318123493
"CD2BP2",5.54302474455152e-34,1.80565641776476,2.93429667519182,0.233284529038555,0.384794233899093,-0.700491342227887
"HNRNPF",5.87032730060467e-34,3.21121034651049,4.57072541269472,0.374816983894583,0.537316903045803,-0.509305981152605
"TAP1",6.03875420910583e-34,4.55439726695949,5.96059288537549,0.551000488042948,0.707277377354104,-0.388195700021054
"ARPC4",1.47089454888013e-33,4.49093216203026,5.91118809579168,0.570034163006345,0.723552662171588,-0.396433198721588
"GNG5",1.64748337643592e-33,2.11151293313812,3.4443199255987,0.260126891166423,0.413857242501744,-0.705942069907055
"PSME1",2.49513308987329e-33,7.98218643240605,9.42373634038596,0.816983894582723,0.922111136944897,-0.239515200745035
"CTSC",3.75492065573788e-33,2.44829184968277,3.75384794233899,0.28696925329429,0.442455242966752,-0.616594666531454
"IDH2",4.12907824631272e-33,2.29069790141532,3.59279934898861,0.275256222547584,0.429667519181586,-0.649321158097194
"ARL6IP1",4.41506193646942e-33,3.46203513909224,4.77032318065566,0.42606149341142,0.586607765635899,-0.462466641589286
"ACTR3",4.71626183240519e-33,3.83194241093216,5.19914438502674,0.457784285017082,0.617530806789119,-0.440198341322207
"OAS2",5.59695173828608e-33,1.36330893118594,2.37354103696815,0.182040019521718,0.32248314345501,-0.799928473652972
"UBE2L3",8.67552459878811e-33,1.82478282088824,2.91324575680074,0.234748657881894,0.383399209486166,-0.674902640265783
"BUB3",2.33999079350321e-32,3.20994631527574,4.53203441060219,0.386041971693509,0.544524529179261,-0.497609646015701
"GSTP1",2.36063076434468e-32,2.67722303562714,4.05715647523832,0.295754026354319,0.44989537316903,-0.599731612213998
"PRDX5",4.39097117802841e-32,2.14370912640312,3.40012090211579,0.247437774524158,0.395954429202511,-0.665476882865788
"SAT1",4.50733795322612e-32,5.91011224987799,7.47418507323878,0.596876525134212,0.744245524296675,-0.338730756132668
"LGALS9",8.17714256321741e-32,0.696764275256223,1.54355731225296,0.0966325036603221,0.211578702627296,-1.14751649060986
"ANXA2",8.26547491813578e-32,3.00414348462665,4.29780748663102,0.33626159102001,0.491746105556847,-0.516647140163912
"COTL1",8.66077364706138e-32,5.59174719375305,6.99457335503371,0.646168862859932,0.786328760753313,-0.32293692354921
"PRDX3",1.15275896013783e-31,1.37087359687653,2.4612624970937,0.169350902879453,0.303882817949314,-0.844302979709417
"CCR5",1.59346566012316e-31,1.57513421181064,2.58495466170658,0.195217179111762,0.334573355033713,-0.714664215931211
"PTPRCAP",2.25451243185425e-31,6.93761346998536,8.29133224831435,0.750122010736945,0.870262729597768,-0.257164469146208
"ANXA6",2.41104707836997e-31,4.03061005368472,5.26681701929784,0.488530990727184,0.64287375029063,-0.385933123354182
"ARPC2",3.68934716449639e-31,7.39452415812591,8.68684956986747,0.792093704245974,0.901418274819809,-0.232375742541739
"UQCRFS1",4.02469115912337e-31,1.85392874572962,2.93764938386422,0.224011713030747,0.366891420599861,-0.664076420545745
"MYL12B",4.30958710277076e-31,5.1232747681796,6.474496628691,0.569058077110786,0.717042548244594,-0.33770176469486
"BRK1",4.44826718994505e-31,2.57128843338214,3.83195070913741,0.292825768667643,0.443385259242037,-0.575587550564681
"LCP1",4.69445374224663e-31,6.78452415812592,7.90011625203441,0.765739385065886,0.881655428970007,-0.219626249232558
"CHCHD2",1.00420965709291e-30,4.44618350414837,5.78341548477098,0.493411420204978,0.645896303185306,-0.379354257191445
"RAN",1.74327655982879e-30,4.27632015617374,5.6640827714485,0.449487554904832,0.602883050453383,-0.40547248058038
"ATP5G3",2.04976124516946e-30,2.49680331869205,3.74474075796326,0.27867252318204,0.426179958149268,-0.584783666848585
"ARPC5",2.19585179172797e-30,3.1175597852611,4.38042548244594,0.36896046852123,0.521971634503604,-0.490653782663164
"ATP5E",2.8309392397487e-30,2.7092972181552,3.49357591257847,0.479258174719375,0.63124854684957,-0.366785818945615
"SERPINB9",3.36319715129411e-30,4.58729136163982,5.69248314345501,0.628599316739873,0.767960939316438,-0.311415571217055
"IGFLR1",3.55904599980951e-30,1.69396290873597,2.84009997674959,0.194729136163982,0.330388281794931,-0.745539430595639
"USP18",3.8342321053153e-30,0.300653977550024,0.94697047198326,0.0448999511957052,0.132759823296908,-1.65521539588709
"DTX3L",9.70764504886515e-30,1.18045387994143,1.94626598465473,0.18887262079063,0.32248314345501,-0.721367211278845
"OAS3",1.00247942886446e-29,0.949263055148853,1.82159497791211,0.13079551000488,0.251336898395722,-0.94032237874349
"LAG3",1.01297010181185e-29,1.93081991215227,2.92837247151825,0.267447535383114,0.411997209951174,-0.600885457308596
"GPI",1.1440912672971e-29,3.70828208882382,4.98796093931644,0.436310395314788,0.588002790048826,-0.427699173604253
"XAF1",1.70654580129897e-29,2.08347486578819,3.22606603115555,0.30307467057101,0.450127877237852,-0.630784271847482
"C17orf49",1.7232584620603e-29,1.99856027330405,3.18028830504534,0.224499755978526,0.363171355498721,-0.670196474412937
"DRAP1",2.04348551705669e-29,2.04614446071254,2.98211346198558,0.290873596876525,0.436875145315043,-0.543427144613388
"COPE",2.1312763514492e-29,3.4111859443631,4.57152755173216,0.41825280624695,0.569169960474308,-0.422402916090203
"FASLG",2.45753518403445e-29,1.11371888726208,2.06653568937456,0.133235724743777,0.253429435015113,-0.891829150154895
"EDF1",2.64969241576734e-29,4.0912737920937,5.3345175540572,0.454856027330405,0.604975587072774,-0.382807714688597
"FKBP1A",3.20403304476131e-29,3.25224987798926,4.52313415484771,0.399707174231332,0.55010462683097,-0.475884679203978
"ENTPD1",3.76106676505094e-29,1.26331381161542,2.19801674029295,0.167886774036115,0.295977679609393,-0.798989319834214
"TWF2",4.60251314915035e-29,1.77106393362616,2.82289700069751,0.211810639336262,0.347361078818879,-0.672560197131912
"PDIA6",5.4143588312921e-29,1.98064421669107,3.05062078586375,0.241581259150805,0.381306672866775,-0.623133101624325
"PRELID1",7.03363223968957e-29,2.66833577354807,3.84339920948617,0.302098584675451,0.447570332480818,-0.526442613892501
"RAC2",7.35154406609403e-29,6.53015617374329,7.87482445942804,0.713518789653489,0.836549639618693,-0.270130268865504
"WDR1",7.88838615372136e-29,3.40343094192289,4.50619623343409,0.447535383113714,0.596837944664032,-0.404920303954923
"LCK",9.28635198411574e-29,5.49906295754026,6.7691118344571,0.595412396290874,0.735177865612648,-0.29978074846593
"RBCK1",1.16860515450056e-28,2.1914494875549,3.32910718437573,0.271839921913128,0.413857242501744,-0.603249894994874
"PSMA5",1.22929990931759e-28,2.60745729624207,3.84208556149733,0.313323572474378,0.458963031853057,-0.559246022392587
"ARF6",1.5380147733761e-28,2.92463152757443,3.65849337363404,0.542703757930698,0.686817019297838,-0.322994773873239
"NUCB1",1.55461536509775e-28,1.97707174231332,2.92758428272495,0.260126891166423,0.400604510578935,-0.566345481999924
"MX1",1.71243209432819e-28,1.26942410932162,2.31420367356429,0.16398243045388,0.289467565682399,-0.866341693800893
"IRF9",1.95370090078837e-28,3.02355295265983,4.22985584747733,0.340165934602245,0.486631016042781,-0.484363651774447
"FABP5",2.53907600293423e-28,1.76817959980478,2.94836782143688,0.22157149829185,0.356893745640549,-0.737651696566536
"HCST",2.56674352886767e-28,4.489560761347,5.75340850964892,0.478770131771596,0.625668449197861,-0.35784260462574
"YWHAB",2.62829863082306e-28,4.84539287457296,6.08202278539874,0.592484138604197,0.731457800511509,-0.327937574112726
"ENO1",3.38933397842299e-28,5.46360175695461,6.84057661009068,0.608589555880918,0.745640548709602,-0.324265609649664
"SIRPG",3.49201075713043e-28,2.61626159102001,3.84037200651011,0.310395314787701,0.454545454545455,-0.553739269529682
"S100A4",3.51363940726991e-28,4.44833577354807,5.78747035573123,0.470473401659346,0.617298302720298,-0.379667207634345
"SHISA5",3.61851783937128e-28,3.32790141532455,4.56093234131597,0.397755002440215,0.545222041385724,-0.45471607266185
"KIR2DL4",5.6653562431595e-28,0.501303074670571,1.3073564287375,0.059053196681308,0.150197628458498,-1.3828975334701
"NDUFA13",5.69536308134025e-28,3.05417276720351,4.28995582422692,0.346510492923377,0.491978609625668,-0.490181117435266
"SRI",7.88599642271698e-28,2.09785749145925,3.25893048128342,0.235236700829673,0.370843989769821,-0.635481898957192
"RGS1",8.35824269668409e-28,7.83908247925817,9.1493489886073,0.698877501220107,0.8223668914206,-0.222984288904508
"DBI",1.40315922579066e-27,1.77218155197657,2.90083003952569,0.205466081015129,0.336200883515462,-0.710939361051437
"SLC25A5",1.42046135571561e-27,4.14420204978038,5.48371076493839,0.489995119570522,0.634503603813067,-0.404058135971581
"HOPX",1.69633553296379e-27,1.34755002440215,2.45444082771448,0.150805270863836,0.270867240176703,-0.865055555869949
"IFI16",1.87163644654884e-27,4.09228404099561,5.33219948849105,0.504636408003904,0.647988839804697,-0.381824471153195
"SP140",2.08352752937816e-27,2.12404099560761,3.13577075098814,0.284529038555393,0.424552429667519,-0.562008479657853
"LSM2",2.19700456621089e-27,1.11182040019522,1.97978609625668,0.133235724743777,0.248546849569867,-0.832420805697439
"CD63",2.362115288569e-27,2.34530014641288,3.52249476865845,0.257686676427526,0.394791908858405,-0.586824996425145
"NME1-NME2",2.56080471739943e-27,2.15496339677892,3.31756800744013,0.241581259150805,0.376656591490351,-0.622462675405638
"NDUFB3",5.28330276381605e-27,1.32825280624695,2.34357591257847,0.167886774036115,0.290165077888863,-0.819181766176444
"CTLA4",6.59986616401555e-27,2.03640312347487,3.05120902115787,0.239141044411908,0.372704022320391,-0.583357830669794
"ATP5C1",9.29361507502326e-27,2.55023914104441,3.75287840037201,0.289897510980966,0.428272494768658,-0.557365007376946
"TPM3",9.42529575288035e-27,6.25706686188385,7.43068588700302,0.693020985846755,0.815159265287143,-0.248008863901129
"PTPN6",1.11702484857273e-26,2.60975597852611,3.88863752615671,0.304050756466569,0.443385259242037,-0.57534984628342
"ATP5A1",2.16772704387067e-26,3.17489019033675,4.37114624505929,0.366520253782333,0.508253894443153,-0.461304952679231
"MYL12A",2.29679603879102e-26,7.29322108345534,8.55351546152058,0.733528550512445,0.847709834922111,-0.229961355954286
"ACTG1",2.36364244234891e-26,8.3196046852123,9.63263659614043,0.830649097120547,0.921878632876075,-0.21141576042826
"C14orf166",3.01790087173857e-26,1.98411908247926,3.04213671239247,0.230844314299658,0.361543827016973,-0.616586372932367
"YWHAE",3.50145252065225e-26,2.93202049780381,3.93169030458033,0.4265495363592,0.568704952336666,-0.423254497057427
"COPZ1",3.5720465056133e-26,1.74180575890678,2.78468030690537,0.200585651537335,0.326668216693792,-0.676927961802596
"ETV7",3.86019793276532e-26,0.153967789165447,0.66201581027668,0.0214738897022938,0.0860265054638456,-2.1042371084792
"C12orf75",3.91095027369621e-26,1.34387994143485,2.28252034410602,0.158125915080527,0.276214833759591,-0.76422346157195
"VAMP5",4.80055886982429e-26,1.23534895070766,2.16508486398512,0.143972669594924,0.258544524529179,-0.809504955395379
"AKAP2",5.13682960642642e-26,0.354128843338214,0.864173448035341,0.0488042947779405,0.130667286677517,-1.28704655024289
"ARF5",5.31358571143885e-26,2.36567593948267,3.41836084631481,0.276720351390922,0.411764705882353,-0.531052237081452
"CASP4",6.30526634711975e-26,2.69278184480234,3.93456172983027,0.324060517325525,0.462683096954197,-0.547105588208699
"SLFN5",7.06122340825745e-26,2.19489507076623,3.05933736340386,0.319180087847731,0.457102999302488,-0.479067234617573
"IFIT3",8.22710903379631e-26,0.151942410932162,0.625075563822367,0.0175695461200586,0.0778888630551035,-2.04050598574607
"FDFT1",9.77034706034186e-26,1.38119570522206,2.2787375029063,0.169350902879453,0.288770053475936,-0.722316990928679
"RNASEK",1.20075520675046e-25,4.18237188872621,5.45074168797954,0.468033186920449,0.607998139967449,-0.382131202842339
"LDHB",1.32267163467288e-25,5.0701756954612,6.33648221343874,0.548072230356271,0.684026970471983,-0.321646388888504
"PSMD8",1.356542994735e-25,2.60457784285017,3.72079748895606,0.308931185944363,0.445477795861428,-0.514562315881333
"LITAF",1.4035200901406e-25,4.62125915080527,5.68607998139967,0.533430941922889,0.670076726342711,-0.299148397186142
"AIP",1.66789263557379e-25,2.27007808687164,3.35603115554522,0.264519277696437,0.396884445477796,-0.564014184371329
"PRR13",1.79130722912645e-25,3.67446559297218,4.8273959544292,0.437774524158126,0.577540106951872,-0.39371072240922
"IL2RG",1.80978135029671e-25,6.9267252318204,8.06581492676122,0.732064421669107,0.844687282027435,-0.219646856546339
"ENSA",1.87342146841967e-25,2.09028794533919,2.88520344106022,0.304050756466569,0.439897698209719,-0.464971356687916
"MSN",1.95921408404418e-25,5.21838457784285,6.13763543362009,0.668618838457784,0.79144385026738,-0.234079684447999
"TRAFD1",2.0749978515873e-25,1.18670571010249,2.04363403859568,0.153733528550512,0.268774703557312,-0.784174663544319
"FAM3C",2.10460222140827e-25,0.552010736944851,1.24349221111369,0.0780868716447047,0.171588002790049,-1.17162923726046
"CHP1",2.1299522279948e-25,2.40962420693021,3.37120669611718,0.326500732064422,0.463613113229482,-0.484456916431385
"POMP",2.14800137748019e-25,2.21238164958516,3.1490537084399,0.334797462176672,0.472448267844687,-0.50931808255333
"COX4I1",2.15263365654097e-25,5.95517325524646,7.1908672401767,0.607125427037579,0.737270402232039,-0.272022293146735
"RAB1B",2.40118058947435e-25,2.5461102977062,3.4977912113462,0.359687652513421,0.498256219483841,-0.458149256835558
"HLA-DMA",2.54485642595106e-25,2.04280624694973,3.16324343176006,0.251830161054173,0.382469193210881,-0.630852208748533
"COX6C",2.62997657499057e-25,2.48533918984871,3.58598232969077,0.271351878965349,0.404092071611253,-0.528925620312897
"VMP1",2.70088609766224e-25,4.15702293801855,5.09172053010928,0.53245485602733,0.668449197860963,-0.292602527407388
"UBE2F",4.23783195798563e-25,1.27455832113226,2.2350895140665,0.152757442654954,0.266914671006743,-0.810335222094586
"PSMD4",4.40347998883981e-25,1.91332845290386,2.94017437805162,0.217667154709614,0.343176005580098,-0.619817165806085
"PSMA6",4.5186197416308e-25,2.58131283552953,3.78578005115089,0.293801854563202,0.427574982562195,-0.552485599069347
"ACTR1A",4.87107611025756e-25,1.28024402147389,2.11855382469193,0.164470473401659,0.280864915136015,-0.726660960806236
"CBX3",6.27836422471586e-25,2.6775597852611,3.76035805626598,0.352855051244509,0.489886073006278,-0.489951251725643
"ACP5",6.7411342465462e-25,1.28445095168375,2.24663799116485,0.153733528550512,0.267612183213206,-0.80661587638799
"DOK2",9.7266792253649e-25,2.37369936554417,3.47041850732388,0.287945339189849,0.420367356428738,-0.547972425940293
"MDH2",1.00604227731491e-24,1.90809663250366,2.88455010462683,0.238164958516349,0.365496396186933,-0.596212087047615
"TCEB2",1.14264833706539e-24,2.84613469985359,3.8845756800744,0.334797462176672,0.470123227156475,-0.44875307645878
"TRAPPC1",1.43026227275055e-24,1.96488530990727,2.7901371774006,0.285017081503172,0.416647291327598,-0.505890949033343
"KIAA0101",1.67500303970705e-24,0.315988286969253,0.93686584515229,0.0395314787701318,0.113229481515927,-1.56797139375054
"SIT1",2.13596744369989e-24,2.29035627135188,3.34353173680539,0.277696437286481,0.408044640781214,-0.545800780401523
"TALDO1",2.25367223444232e-24,1.54168374816984,2.51255521971634,0.181063933626159,0.298767728435248,-0.704648453762483
"ATP5F1",2.47278637839623e-24,2.14069790141532,3.25172750523134,0.235724743777452,0.361543827016973,-0.603125149890309
"TANK",2.73609047245525e-24,2.72404099560761,3.74505463845617,0.33577354807223,0.469890723087654,-0.459238351596524
"COX8A",2.83449606855765e-24,2.76029282576867,3.97947919088584,0.308931185944363,0.441525226691467,-0.527758308823786
"APOBEC3D",2.95770102468551e-24,1.99829184968277,2.71698907230877,0.339189848706686,0.473610788188793,-0.443241459551275
"JAK3",3.45361095849937e-24,4.42892630551489,5.2810253429435,0.605661298194241,0.732852824924436,-0.253861072823641
"COX5B",3.45664885481533e-24,2.5096046852123,3.57024877935364,0.296242069302099,0.427807486631016,-0.508564478850973
"NDUFB8",3.69484491364188e-24,2.86451927769644,3.92572192513369,0.358223523670083,0.493141129969774,-0.454664937580653
"NMI",4.07809370156063e-24,0.939428989751098,1.705503371309,0.123474865788189,0.22785398744478,-0.860341587377422
"MRPL51",4.68601916138484e-24,1.1312298682284,1.90446640316206,0.134699853587116,0.242036735642874,-0.751494719724809
"IL32",5.14448434775557e-24,8.21361151781357,9.45891885607998,0.812103465104929,0.904440827714485,-0.203658581291036
"RNF4",5.37936731987943e-24,2.46457296242069,3.43642641246222,0.317227916056613,0.449430365031388,-0.479571373974421
"ATP5L",6.45972444953174e-24,3.89143972669595,5.12618925831202,0.411908247925817,0.547082073936294,-0.397582731906273
"GSTO1",6.68456739476515e-24,1.20028794533919,2.08841897233202,0.142996583699366,0.251569402464543,-0.799030624682517
"TPM4",7.17944457540632e-24,2.69243533430942,3.6734712857475,0.341630063445583,0.475005812601721,-0.448232302429267
